,COD,Conductivity,Dissolved O2(DO),Nitrate-N,pH,Potassium,Sodium,Sulphate,Temperature,Total Coliform,Total Dissolved Solids(TDS),Total Fixed Solids(TFS),Total Hardness as CaCo3,Turbidity
Unnamed: 96,78.0,542.0,7.32,0.32,6.32,9.43,5.32,43.78,67.0,65000.0,450.0,675.0,34.0,0.31
Unnamed: 97,30.0,123.6,6.9,0.56,7.46,2.82,9.78,8.08,31.0,11000.0,110.0,678.0,55.0,528.0
Unnamed: 98,39.0,163.4,7.2,0.45,6.98,3.68,12.76,13.47,30.0,17000.0,110.0,234.0,58.55546875,20.2
Unnamed: 99,48.0,154.9,6.8,0.13,6.98,2.81,10.89,13.39,29.0,17000.0,138.0,88.0,90.0,1.2
Unnamed: 100,39.0,149.8,5.4,0.32,6.8,5.4,48.8,10.52,18.0,34000.0,189.0,136.0,92.0,18.8
Unnamed: 101,41.0,158.2,6.9,0.6,6.08,4.0,13.22,4.85,21.0,21000.0,138.40234375,198.0,32.0,0.65
Unnamed: 102,37.0,151.2,6.5,0.1,6.9,4.39,10.95,11.47,22.0,26000.0,98.0,112.0,60.0,9.36
Unnamed: 103,39.0,149.8,5.4,0.32,6.8,5.4,48.8,13.360182539682542,10.52,34000.0,189.0,136.0,58.55546875,18.8
Unnamed: 104,72.0,210.1,5.8,0.8,6.68,7.6,227.0,15.43,26.0,350000.0,185.0,152.0,82.0,7.18
Unnamed: 105,14.0,167.0,5.2,0.1,7.22,4.8,2.8,17.05,24.0,50000.0,112.0,8.0,80.0,7.78
Unnamed: 106,16.3,119.8,7.2,0.32,7.91,4.4,9.3,13.65,30.0,40000.0,142.0,97.0,78.0,5.34
Unnamed: 107,21.16,112.6,7.2,0.26,1.26,3.2,9.15,15.76,23.0,33000.0,110.0,214.0,64.64,86.5
Unnamed: 108,28.24,158.7,7.4,2.31,7.43,2.3,10.15,15.17,29.0,33000.0,96.0,156.0,64.0,60.2
Unnamed: 109,32.29,141.0,6.7,2.16,7.8,3.8,9.2,18.13,29.0,22000.0,82.0,136.0,58.0,130.0
Unnamed: 110,36.0,119.8,6.8,2.08,7.2,7.0,0.4,15.18,29.0,14000.0,102.0,72.0,40.0,7.2
Unnamed: 111,48.0,93.2,6.8,0.63,6.89,3.7,5.8,11.54,27.0,11000.0,96.0,128.0,68.0,2.66
Unnamed: 112,53.0,122.8,6.8,0.62,6.87,4.0,7.1,15.32,22.0,17000.0,88.0,146.0,78.0,21.3
Unnamed: 113,51.0,119.3,6.9,1.11,6.82,4.2,11.058809523809524,16.33,20.0,14000.0,92.0,88.0,82.0,14.6
Unnamed: 114,21.0,1467.0,6.9,1.44,7.11,5.0,9.4,18.52,22.0,34000.0,234.0,168.0,76.0,31.6
Unnamed: 115,24.0,110.2,7.1,2.09,7.26,2.8,9.6,16.54,24.0,9000.0,110.0,226.0,60.0,29.3
Unnamed: 116,24.0,65.24,7.8,0.6743548387096775,7.4,6.1,0.04,10.88,27.0,8000.0,78.0,170.5891472868217,78.0,69.7792857142857
Unnamed: 117,28.0,110.0,6.5,0.6743548387096775,7.4,3.8,6.4,14.78,24.0,11000.0,114.0,64.0,80.0,69.7792857142857
Unnamed: 118,9.5,146.0,7.4,0.21,6.99,3.66,8.55,11.22,22.0,29000.0,158.0,52.0,59.0,13.5
Unnamed: 119,7.8,159.0,7.2,0.14,7.01,3.45,9.2,12.66,28.0,52000.0,155.0,39.0,45.0,18.0
Unnamed: 120,5.22,148.0,6.85,0.2,7.02,4.0,7.44,11.0,21.0,45000.0,133.0,43.0,52.0,12.25
Unnamed: 121,4.98,138.5,6.8,0.23,6.98,3.33,8.0,9.85,27.0,47000.0,148.0,50.0,60.0,16.0
Unnamed: 122,5.5,151.2,6.92,0.12,7.01,3.98,8.23,10.25,26.0,48000.0,146.0,66.0,36.0,14.0
Unnamed: 123,9.0,133.0,7.01,0.22,7.22,4.0,8.5,12.01,25.0,36000.0,159.0,75.0,50.0,17.0
Unnamed: 124,8.2,145.0,6.35,0.13,7.11,3.22,7.22,10.0,22.0,30000.0,129.0,39.0,32.0,15.5
Unnamed: 125,11.0,152.0,6.6,0.12,6.98,3.0,8.55,10.2,24.0,31000.0,118.0,101.0,30.0,11.0
Unnamed: 126,8.0,138.4,6.8,0.14,7.19,3.97,8.21,9.85,24.0,36000.0,160.0,49.0,36.0,22.0
Unnamed: 127,9.9,149.0,7.5,0.25,7.11,3.2,9.3,12.21,27.0,51000.0,151.0,58.0,61.0,8.2
Unnamed: 128,4.92,160.5,6.3,0.3,7.03,4.0,8.22,11.23,25.0,28000.0,145.0,37.0,42.0,12.2
Unnamed: 129,7.5,145.0,7.1,0.13,7.02,3.99,7.45,9.2,21.0,44000.0,122.0,45.0,49.0,23.0
Unnamed: 130,9.8,151.2,7.5,0.11,7.1,3.01,8.66,11.2,28.0,38000.0,144.0,65.0,31.0,5.9
Unnamed: 131,8.0,141.0,6.8,0.2,7.06,3.0,7.38,8.99,23.0,24000.0,150.0,85.0,45.0,6.62
Unnamed: 132,10.0,137.2,7.1,0.23,7.01,4.0,8.02,9.45,28.0,28000.0,126.0,36.0,58.0,21.0
Unnamed: 133,5.2,140.0,6.9,0.11,6.91,2.3,7.21,10.2,22.0,36000.0,111.0,54.0,50.0,9.61
Unnamed: 134,10.0,150.8,6.2,0.23,7.2,2.0,8.65,13.360182539682542,22.0,40000.0,120.0,132.0,40.0,52.0
